,text
1838,"['bikin', 'sim', 'harus', 'punya', 'bpjs', 'kesehatan', 'kalo', 'dipikir', 'masuk', 'akal', 'jg', 'sih', 'soalnya', 'kalo', 'misal', 'amit', 'kecelakaan', 'tunggal', 'yg', 'gak', 'terkait', 'kecelakaan', 'kerja', 'bisa', 'ditanggung', 'bpjsk']"
1839,"['minyak', 'goreng', 'kebutuh', 'pokok', 'publik', 'malah', 'jadi', 'langka', 'pengurusan', 'sim', 'jual', 'beli', 'tanah', 'wajib', 'bpjs', 'ingat', 'kata', 'pak', 'jokowi', 'tidak', 'ada', 'visi', 'misi', 'mentri', 'yang', 'ada', 'visi', 'misi', 'presiden']"
1840,"['lahh', 'bpjs', 'kesehatan', 'bakal', 'jadi', 'syarat', 'wajib', 'bikin', 'sim', 'dan', 'stnk', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1841,"['ngurus', 'sim', 'stnk', 'masa', 'make', 'bpjs', 'beli', 'tanah', 'apa', 'hubungannya', 'coba']"
1842,"['bayangin', 'aja', 'ojol', 'mau', 'perpanjang', 'sim', 'ga', 'bs', 'karna', 'ga', 'punya', 'bpjs', 'atau', 'blm', 'bayar', 'iuran', 'selama', 'bbrp', 'bulan', 'pemerintah', 'mah', 'ga', 'liat', 'ini', 'apa', 'ya', 'yang', 'ada', 'rakyat', 'miskin', 'makin', 'makin', 'deh']"
1843,"['hub', 'nya', 'tanah', 'sim', 'ama', 'bpjs', 'aya', 'yach', 'apa', 'aku', 'yg', 'gak', 'pinter', 'cabutaturanbpjs']"
1844,"['polisi', 'buka', 'suara', 'soal', 'bikin', 'sim', 'stnk', 'skck', 'wajib', 'sertakan', 'bpjs']"
1845,"['wow', 'apa', 'lagi', 'ini', 'bpjs', 'kesehatan', 'bakal', 'jadi', 'syarat', 'wajib', 'bikin', 'sim', 'dan', 'stnk', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1846,"['bpjs', 'jadi', 'syarat', 'urus', 'sim', 'umroh', 'haji', 'jual', 'beli', 'tanah', 'jadi', 'intinya', 'rakyat', 'kudu', 'wajib', 'punya', 'bpjs', 'up', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1847,"['bpjs', 'jadi', 'syarat', 'urus', 'sim', 'stnk', 'naik', 'haji', 'hingga', 'jual', 'beli', 'tanah', 'tujuannya', 'mengumpulkan', 'uang', 'rakyat', 'atau', 'gimana', 'cuma', 'nanya', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1848,"['jual', 'beli', 'tanah', 'ada', 'syarat', 'bpjs', 'kesehatan', 'sampeyan', 'nyinyir', 'ngurus', 'sim', 'stnk', 'dan', 'skck', 'juga', 'ada', 'syarat', 'bpjs', 'kesehatan', 'sampeyan', 'piye', 'karepnya']"
1849,"['syarat', 'bpjs', 'kesehatan', 'utk', 'jual', 'beli', 'rumah', 'bg', 'legislator', 'its', 'peanut', 'syarat', 'perpanjang', 'stnk', 'motor', 'dan', 'sim', 'berdampak', 'banyak', 'pelanggaran', 'tanpa', 'sim', 'amp', 'stnk', 'oleh', 'masy', 'desa', 'krn', 'mrk', 'sdh', 'nunggak', 'bayar', 'bpjs', 'bpjs', 'sukses', 'raih', 'angt', 'tp', 'polri', 'kehilangan', 'pnbp', 'gmn', 'tuh']"
1850,"['sarat', 'pengurusan', 'surat', 'sim', 'stnk', 'paspor', 'umroh', 'hji', 'amp', 'jual', 'bli', 'niaga', 'tanah', 'hrus', 'menyertakan', 'bpjs', 'mmng', 'sngt', 'memberatkan', 'trlbih', 'kndisi', 'msyrkt', 'saat', 'ini', 'sdg', 'berjuang', 'meghdapi', 'wbah', 'covid', 'pmrith', 'hrs', 'mlihat', 'fakta', 'kepesertaan', 'bpjs', 'kolektif', 'anggota', 'keluarga', 'dlm', 'kk', 'org', 'itu', 'brt', 'byr', 'nya']"
1851,"['bpjs', 'napa', 'jd', 'syarat', 'bikin', 'sim', 'sih', 'kaga', 'penting', 'bgt', 'sumpah', 'gua', 'blm', 'bikin', 'sim', 'nih']"
1852,"['semoga', 'aja', 'tdak', 'ada', 'aturan', 'bahwa', 'kalau', 'mau', 'jajan', 'beli', 'cilok', 'harus', 'pakai', 'bpjs', 'dah', 'zaman', 'sungguh', 'aneh', 'minyak', 'goreng', 'langka', 'beli', 'tanahurus', 'sim', 'hrs', 'punya', 'bpjs', 'sumpah', 'gue', 'empetingin', 'rsnya', 'nyumpahin', 'segunungeh', 'ntar', 'kena', 'cyduk', 'gayung', 'dah', 'biarlah', 'setan', 'pd', 'ngawur', 'dah']"
1853,"['jika', 'plynan', 'bpjs', 'tdk', 'ditinggkatkan', 'sy', 'tdk', 'akan', 'iku', 'bpjs', 'dan', 'jk', 'perpanjang', 'sim', 'atau', 'pajak', 'krndaraan', 'bermotor', 'ruet', 'lbh', 'baik', 'ga', 'diperpanjang', 'ada', 'razia', 'cari', 'jln', 'tikus', 'ga', 'ada', 'jln', 'tikus', 'nunggu', 'hingga', 'polisi', 'nya', 'bubar', 'hidup', 'itu', 'adalah', 'pilihan', 'bang', 'jk', 'ruet', 'sekalian', 'dibikin', 'ruet']"
1854,"['presiden', 'jokowi', 'membuat', 'aturan', 'baru', 'tentang', 'pembuatan', 'sim', 'dan', 'stnk', 'di', 'indonesia', 'pd', 'maret', 'nantinya', 'peserta', 'yang', 'membuat', 'dua', 'dokumen', 'tersebut', 'harus', 'sudah', 'terdaftar', 'secara', 'resmi', 'diprogram', 'bpjs', 'kesehatan', 'orde', 'suka', 'suka', 'memang', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1855,"['urus', 'sim', 'tiap', 'tahun', 'urus', 'pajak', 'kendaraan', 'tiap', 'tahun', 'iuran', 'bpjs', 'tiap', 'bulan', 'bbm', 'hampir', 'tiap', 'hari', 'jadi', 'unit', 'kendaraan', 'lumayan', 'juga', 'ya', 'pemasukan', 'ke', 'negara', 'bolehkan', 'cabutaturanbpjs', 'cabutaturanbpjs', 'untuk', 'ringankan', 'beban', 'rakyat']"
1856,"['bpjs', 'kesehatan', 'jadi', 'syarat', 'bikin', 'sim', 'sampai', 'jual', 'beli', 'tanah', 'disebut', 'tidak', 'relevan', 'dan', 'membebankan', 'masyarakat', 'via']"
1857,"['ini', 'mengurus', 'sim', 'dkk', 'harus', 'menggunakan', 'bpjsfaedahnya', 'apa', 'ya', 'katanya', 'mau', 'menghilangkan', 'birokrasitapi', 'malah', 'membuat', 'birokrasikalau', 'mau', 'memang', 'menyukseskan', 'indonesia', 'sehat', 'kenapa', 'rakyatnya', 'yg', 'dibuat', 'sulit']"
1858,"['siapa', 'bilang', 'bpjs', 'buat', 'ngurus', 'sim', 'dan', 'stnk', 'saja', 'katanya', 'buat', 'urus', 'jual', 'beli', 'tanah', 'juga', 'sekalian', 'orang', 'melacur', 'suruh', 'pakai', 'bpjs']"
1859,"['jokowi', 'bpjs', 'kesehatan', 'jadi', 'syarat', 'urus', 'sim', 'stnk', 'skck', 'umrah', 'naik', 'haji', 'hingga', 'jual', 'beli', 'tanah', 'waduh', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1860,"['kartu', 'bpjs', 'syarat', 'buat', 'sim', 'mulai', 'maret', 'ghufron', 'tidak', 'betul']"
1861,"['polri', 'mulai', 'penyesuaian', 'aturan', 'baru', 'bpjs', 'kesehatan', 'bakal', 'jadi', 'syarat', 'wajib', 'bikin', 'sim', 'dan', 'stnk', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1862,"['siapsiap', 'mulai', 'maret', 'bikin', 'sim', 'dan', 'stnk', 'wajib', 'terdaftar', 'di', 'bpjs', 'kesehatan', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1863,"['au', 'ah', 'gelapbikin', 'sim', 'dan', 'stnk', 'wajib', 'gunakan', 'bpjs', 'kesehatan', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1864,"['wadaww', 'bukan', 'hanya', 'pembuatan', 'sim', 'dan', 'stnk', 'berikut', 'isi', 'inpres', 'nomor', 'tahun', 'yang', 'mensyaratkan', 'bpjs', 'kesehatan', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1865,"['aduhhhh', 'jokowi', 'bpjs', 'kesehatan', 'jadi', 'syarat', 'urus', 'sim', 'stnk', 'skck', 'umrah', 'naik', 'haji', 'hingga', 'jual', 'beli', 'tanah', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1866,"['kebebasan', 'ini', 'menjadi', 'hilang', 'ketika', 'bpjs', 'menjadi', 'faktor', 'dependen', 'pada', 'transaksi', 'lain', 'jual', 'beli', 'tanah', 'izin', 'usaha', 'dan', 'mengurus', 'sim', 'misalnya', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1867,"['bpjs', 'jadi', 'persyaratan', 'mengurus', 'sim', 'hajat', 'publik', 'dikapitalisasi', 'bpjs', 'pelayananpublik', 'islam']"
1868,"['warga', 'yang', 'ingin', 'membuat', 'surat', 'izin', 'mengemudi', 'sim', 'stnk', 'melaksanakan', 'ibadah', 'haji', 'atau', 'umrah', 'bahkan', 'jual', 'beli', 'tanah', 'harus', 'memiliki', 'kartu', 'bpjs', 'kesehatan', 'sbg', 'salah', 'satu', 'syarat', 'yodah', 'yuk', 'kita', 'boikot', 'pembayaran', 'pajak', 'kendaraan', 'dan', 'tanah', 'biar', 'kolap', 'sektor', 'pajak', 'biar', 'modyar']"
1869,"['pemerintah', 'bakal', 'mewajibkan', 'kalangan', 'masyarakat', 'untuk', 'memiliki', 'keanggotaan', 'kartu', 'bpjs', 'kesehatan', 'untuk', 'mengurus', 'segala', 'perizinan', 'mulai', 'dari', 'membuat', 'sim', 'stnk', 'hingga', 'naik', 'haji', 'dan', 'umrah', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1870,"['ylki', 'pemerintah', 'harus', 'batalkan', 'aturan', 'jual', 'beli', 'tanah', 'hingga', 'urus', 'sim', 'pakai', 'bpjs', 'kesehatan']"
1871,"['ylki', 'pemerintah', 'harus', 'batalkan', 'aturan', 'jual', 'beli', 'tanah', 'hingga', 'urus', 'sim', 'pakai', 'bpjs', 'kesehatan', 'harus', 'di', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1872,"['bukan', 'hanya', 'pembuatan', 'sim', 'dan', 'stnk', 'berikut', 'isi', 'inpres', 'nomor', 'tahun', 'yang', 'mensyaratkan', 'bpjs', 'kesehatan', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1873,"['urus', 'sim', 'hingga', 'stnk', 'pakai', 'bpjs', 'kesehatan', 'ini', 'tanggapan', 'polri']"
1874,"['penguruan', 'sim', 'stnk', 'dan', 'skck', 'dalam', 'hal', 'ini', 'pihak', 'kepolisian', 'ri', 'diminta', 'untuk', 'memastikan', 'pemohon', 'sim', 'stnk', 'dan', 'skck', 'merupakan', 'peserta', 'aktif', 'bpjs', 'kesehatan', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1875,"['bukan', 'hanya', 'pembuatan', 'sim', 'dan', 'stnk', 'berikut', 'isi', 'inpres', 'nomor', 'tahun', 'yang', 'mensyaratkan', 'bpjs', 'kesehatan', 'aneh', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1876,"['siapsiap', 'mulai', 'maret', 'bikin', 'sim', 'dan', 'stnk', 'wajib', 'terdaftar', 'di', 'bpjs', 'kesehatan', 'sekalian', 'dong', 'kalau', 'mau', 'beli', 'motor', 'dan', 'mobil', 'juga', 'wajib', 'terdaftar', 'di', 'bpjs', 'kesehatan', 'biar', 'klop', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1877,"['urus', 'sim', 'terkadang', 'berat', 'urut', 'stnk', 'terkdang', 'telat', 'eh', 'nambah', 'pula', 'bpjs', 'ambyar', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1878,"['instruksi', 'presiden', 'no', 'tahun', 'mewajibkan', 'warga', 'yang', 'ingin', 'membuat', 'sim', 'stnk', 'dan', 'melaksanakan', 'ibadah', 'hajiumrah', 'harus', 'memiliki', 'bpjs', 'kesehatan', 'layanan', 'kesehatan', 'aja', 'belum', 'maksimal', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1879,"['apa', 'hubungannya', 'simstnk', 'dan', 'bpjs', 'aturan', 'apa', 'ini']"
1880,"['polri', 'mulai', 'penyesuaian', 'aturan', 'baru', 'bpjs', 'kesehatan', 'bakal', 'jadi', 'syarat', 'wajib', 'bikin', 'sim', 'dan', 'stnk', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1881,"['warga', 'respons', 'bpjs', 'kesehatan', 'jadi', 'syarat', 'sim', 'malah', 'menghambat', 'tuh', 'kan', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1882,"['jokowi', 'tambah', 'syarat', 'bikin', 'sim', 'dan', 'stnk', 'kini', 'pakai', 'bpjs', 'kesehatan', 'kenapa', 'begini', 'apa', 'duit', 'habis', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1883,"['ylki', 'pemerintah', 'harus', 'batalkan', 'aturan', 'jual', 'beli', 'tanah', 'hingga', 'urus', 'sim', 'pakai', 'bpjs', 'kesehatan', 'harus', 'di', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1884,"['warga', 'respons', 'bpjs', 'kesehatan', 'jadi', 'syarat', 'sim', 'malah', 'menghambat', 'makannyamari', 'up', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1885,"['bpjs', 'kesehatan', 'jadi', 'syarat', 'bikin', 'sim', 'sampai', 'jual', 'beli', 'tanah', 'disebut', 'tidak', 'relevan', 'dan', 'membebankan', 'masyarakat', 'sangat', 'tak', 'relevan', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1886,"['polri', 'siap', 'ubah', 'aturan', 'sim', 'dan', 'stnk', 'sesuaikan', 'syarat', 'bpjs', 'kesehatan']"
1887,"['siapsiap', 'bpjs', 'jadi', 'syarat', 'urus', 'sim', 'dan', 'stnk', 'hingga', 'jual', 'beli', 'tanah', 'aturan', 'anehyok', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1888,"['prof', 'anthony', 'budiawan', 'urus', 'sim', 'syarat', 'bpjs', 'apakah', 'instruksi', 'presiden', 'inpres', 'di', 'atas', 'undangundang', 'bagaimana', 'ini', 'setuju', 'ah', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1889,"['warga', 'wajib', 'punya', 'kartu', 'bpjs', 'kesehatan', 'urus', 'sim', 'stnk', 'hingga', 'naik', 'haji', 'apaan', 'sisegeralah', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1890,"['komisi', 'ix', 'kritik', 'bpjs', 'kesehatan', 'jadi', 'syarat', 'sim', 'hingga', 'naik', 'haji', 'panggil', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1891,"['warga', 'respons', 'bpjs', 'kesehatan', 'jadi', 'syarat', 'sim', 'malah', 'menghambat', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1892,"['tidak', 'hanya', 'jualbeli', 'tanah', 'jokowi', 'teken', 'aturan', 'urus', 'stnk', 'sim', 'dan', 'skck', 'wajib', 'pakai', 'bpjs', 'kesehatan', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1893,"['bpjs', 'kesehatan', 'jadi', 'syarat', 'sim', 'stnk', 'skck', 'enggal', 'pamukty', 'rakyat', 'ingin', 'tenang', 'tapi', 'pemerintah', 'memprovokasi', 'rakyat', 'pengin', 'hidup', 'tenang', 'duku', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1894,"['mengurus', 'sim', 'dan', 'stnk', 'kini', 'wajib', 'punya', 'bpjs', 'kesehatan', 'mengurus', 'sim', 'itu', 'bentuk', 'kepatuhankenapa', 'dipersulit', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1895,"['bpjs', 'kesehatan', 'jadi', 'syarat', 'sim', 'stnk', 'skck', 'enggal', 'pamukty', 'rakyat', 'ingin', 'tenang', 'tapi', 'pemerintah', 'memprovokasi', 'sengajademo', 'nanti', 'alasan', 'covid', 'cabutaturanbpjs', 'cabutaturanbpjs']"
1896,"['tempe', 'ilang', 'tahu', 'ilang', 'minyak', 'ilang', 'wapres', 'ilang', 'bpjs', 'wajib', 'buat', 'urus', 'sim', 'amp', 'skck', 'ini', 'malah', 'ributin', 'ukraina', 'emang', 'terbaik', 'prescok', 'kita', 'satu', 'ini']"
1897,"['haish', 'aku', 'mau', 'bikin', 'sim', 'harus', 'bikin', 'bpjs', 'dulu']"
1898,"['sejak', 'aturan', 'pembelian', 'tanah', 'urus', 'sim', 'mesti', 'punya', 'kartu', 'bpjs', 'saya', 'langsung', 'ingat', 'buletin', 'ini', 'ada', 'skriptnya', 'yang', 'lengkap', 'ga', 'kak']"
1899,"['bsk', 'bbm', 'naik', 'listrik', 'naik', 'tahu', 'tempe', 'naik', 'bpjs', 'syarat', 'sim', 'stnk', 'skck', 'tanah', 'surveynya', 'tetep', 'puas']"
1900,"['masalah', 'kesehatan', 'itu', 'kaitannya', 'dengan', 'anggaran', 'dan', 'pajak', 'lah', 'kok', 'di', 'kaitkan', 'dengan', 'pelayanan', 'publik', 'pembuatan', 'sim', 'stnk', 'dan', 'skck', 'masa', 'orang', 'gagal', 'lamar', 'pekerjaan', 'gara', 'gara', 'bpjs', 'kesehatan', 'bisa', 'banyak', 'motor', 'ga', 'mau', 'ngurus', 'stnk', 'cari', 'solusi', 'yang', 'relevan']"
1901,"['tujuan', 'awal', 'dibuat', 'bpjs', 'biar', 'orang', 'sakit', 'kalau', 'berobat', 'mudah', 'dapat', 'pelayanan', 'tapi', 'sekarang', 'bpjs', 'malah', 'menghambat', 'semua', 'sendi', 'kehidupan', 'sim', 'jual', 'beli', 'tanah', 'bayar', 'pajak', 'harus', 'punya', 'bpjs', 'dari', 'pada', 'bikin', 'susah', 'hidup', 'rakyat', 'mending', 'hilangkan', 'saja', 'bpjsnya']"
1902,"['warga', 'yang', 'ingin', 'mengurus', 'sim', 'stnk', 'dan', 'skck', 'harus', 'ikut', 'keanggotaan', 'bpjs', 'kesehatan', 'polri', 'menyatakan', 'akan', 'mengubah', 'perpol', 'terkait']"
1903,"['sehingga', 'tidak', 'relevant', 'pengurusan', 'pembuatan', 'simstnkskcksertifikat', 'tanahpengurusan', 'ibadah', 'haji', 'atau', 'apapun', 'dilakukan', 'berdasar', 'pemohon', 'mempunyai', 'kartu', 'bpjs', 'kesehatan', 'atau', 'tidak', 'bpjskesehatan', 'february']"
1904,"['urus', 'sim', 'dan', 'stnk', 'kini', 'wajib', 'sertakan', 'bpjs', 'kesehatan', 'begini', 'tanggapan', 'polri']"
1905,"['saya', 'bakal', 'daftar', 'kalao', 'bpjs', 'bisa', 'juga', 'buat', 'bayar', 'utang', 'bisa', 'buat', 'modal', 'usaha', 'dan', 'bisa', 'buat', 'beli', 'tanah', 'saya', 'rela', 'sim', 'dan', 'pajak', 'kendaraanku', 'mati', 'bila', 'memperpanjang', 'sim', 'dan', 'stnk', 'wajib', 'punya', 'bpjs']"
1906,"['semoga', 'dgn', 'ada', 'nya', 'syarat', 'bpjs', 'saat', 'urus', 'sim', 'biaya', 'dokter', 'dan', 'psikotes', 'jadi', 'gratis', 'kan', 'sudah', 'di', 'tanggung', 'bpjs', 'itu', 'kan', 'guna', 'nya', 'kita', 'bayar', 'iuran', 'bulanan', 'ga', 'boleh', 'nunggak']"
1907,"['maaf', 'y', 'bganda', 'blg', 'hubungan', 'bpjs', 'dengan', 'simklo', 'ada', 'kecelakaan', 'dirawat', 'dgn', 'bpjshalloo', 'bg', 'bpjs', 'tidak', 'mengcover', 'kecelakaan', 'lalu', 'lintasbelom', 'coba', 'ya']"
1908,"['no', 'komen', 'perihal', 'jht', 'ngga', 'habis', 'pikir', 'perihal', 'bpjs', 'dijadiin', 'syarat', 'buat', 'jualbeli', 'tanah', 'bikin', 'sim', 'stnk', 'dan', 'skck']"
1909,"['ini', 'beneran', 'perpanjang', 'sim', 'sama', 'stnk', 'syarat', 'nya', 'di', 'tambah', 'harus', 'ada', 'kartu', 'bpjs']"
1910,"['untuk', 'bikin', 'bpjs', 'harus', 'bawa', 'sim', 'dan', 'stnk', 'karena', 'naik', 'motor']"
1911,"['bpjs', 'kesehatan', 'syarat', 'urus', 'sim', 'hingga', 'stnk', 'polri', 'sempurnakan', 'regulasi', 'lewat']"
1912,"['pengen', 'buat', 'sim', 'sama', 'bpjs']"
1913,"['keinginan', 'yg', 'terlalu', 'tinggi', 'rakyat', 'ingin', 'minyak', 'murah', 'bikin', 'sim', 'jualbeli', 'tanpa', 'bpjssuwe', 'mumet']"
1914,"['emg', 'klo', 'ga', 'ada', 'duit', 'buat', 'bpjs', 'ada', 'duit', 'buat', 'urus', 'sim', 'stnk', 'dll']"
1915,"['kr', 'katanya', 'skrg', 'buat', 'ngurus', 'sim', 'stnk', 'naik', 'haji', 'beli', 'tanah', 'harus', 'pake', 'bpjs', 'ya', 'buat', 'orang', 'yg', 'nganggurphk', 'ga', 'ada', 'duit', 'buat', 'bpjs', 'gmn']"
1916,"['gue', 'ada', 'tugas', 'suruh', 'analisis', 'beberapa', 'kebijakan', 'publik', 'udh', 'termasuk', 'masalah', 'tsb', 'terjadi', 'dan', 'solusi', 'trs', 'gua', 'search', 'lah', 'di', 'google', 'sampe', 'gua', 'klik', 'berita', 'masalah', 'bpj', 'anjrot', 'itu', 'pening', 'banget', 'belom', 'kelar', 'urusan', 'jkn', 'ada', 'lagi', 'penetapan', 'bpjs', 'syarat', 'wajib', 'membuat', 'simskck']"
1917,"['bpjs', 'kesehatan', 'jadi', 'syarat', 'urus', 'sim', 'hingga', 'stnk', 'polri', 'bakal', 'sempurnakan', 'regulasi', 'sindonews', 'bukanberitabiasa']"
1918,"['urus', 'sim', 'dan', 'stnk', 'kini', 'wajib', 'sertakan', 'bpjs', 'kesehatan', 'begini', 'tanggapan', 'polri']"
1919,"['urus', 'sim', 'dan', 'stnk', 'kini', 'wajib', 'sertakan', 'bpjs', 'kesehatan', 'begini', 'tanggapan', 'polri']"
1920,"['syarat', 'urus', 'sim', 'stnk', 'ibadah', 'haji', 'umrah', 'harus', 'punya', 'kartu', 'bpjs', 'kesehatan']"
1921,"['buat', 'sim', 'stnk', 'dan', 'skck', 'harus', 'pake', 'bpjs', 'kesehatan', 'what', 'pemerintah', 'bener', 'logikanya', 'gimana', 'sih', 'jadi', 'kita', 'dipaksa', 'sehat', 'di', 'negara', 'yang', 'sakit', 'asli', 'konyol', 'banget', 'bpjs', 'harusnya', 'menjadi', 'asuransi', 'kesehatan', 'bukan', 'identitas', 'kepengurusan', 'buat', 'apa', 'ada', 'ektp']"
1922,"['kayanya', 'ak', 'emg', 'cuma', 'numpang', 'tinggal', 'aja', 'di', 'indo', 'dulu', 'bikin', 'ktp', 'telat', 'bgt', 'nunggu', 'diomelin', 'dulu', 'baru', 'bikin', 'truss', 'buka', 'atm', 'nunggu', 'dpt', 'beasiswa', 'dulu', 'ga', 'berniat', 'bikin', 'sim', 'bpjs', 'segala', 'macem', 'kecuali', 'passport']"
1923,"['sekarang', 'semua', 'hrs', 'dgn', 'bpjs', 'ya', 'mending', 'ga', 'usah', 'perpanjang', 'sim', 'dan', 'pajak', 'ranmor', 'kl', 'ribet', 'kita', 'sebetulnya', 'tahu', 'kewajiban', 'sebagai', 'warga', 'negara', 'tp', 'kok', 'di', 'persulit', 'rasanya']"
1924,"['polri', 'dukung', 'kebijakan', 'bpjs', 'kesehatan', 'jadi', 'syarat', 'urus', 'sim', 'stnk', 'dan', 'skck']"
1925,"['sbnrx', 'bagus', 'tp', 'sprti', 'memaksa', 'urus', 'stnk', 'sim', 'jual', 'tanah', 'hrs', 'bpjs', 'yg', 'jd', 'mshl', 'it', 'tiba', 'rakyat', 'marah', 'dan', 'tdk', 'ad', 'yg', 'mau', 'bayar', 'pajak', 'mampus', 'lah', 'pemerintah']"
1926,"['kemaren', 'aku', 'balik', 'cm', 'diisi', 'kegiatan', 'les', 'mobil', 'nonton', 'dan', 'urus', 'bpjssim', 'lalala', 'doang']"
1927,"['cakep', 'gak', 'sekalian', 'surat', 'nikah', 'tak', 'hanya', 'jual', 'beli', 'tanah', 'bpjs', 'kesehatan', 'juga', 'jadi', 'syarat', 'bikin', 'sim', 'hingga', 'skck']"
1928,"['fc', 'ktp', 'fc', 'kk', 'surat', 'vaksin', 'kartu', 'bpjs', 'motor', 'pribadi', 'dan', 'sim']"
1929,"['siapsiap', 'mengurus', 'stnk', 'dan', 'sim', 'wajib', 'berstatus', 'peserta', 'bpjs', 'kesehatan', 'aktif']"
1930,"['eh', 'serius', 'sekarang', 'kalo', 'mau', 'bikin', 'sim', 'ngurusin', 'surat', 'tanahkendaraan', 'harus', 'pake', 'bpjs']"
1931,"['terkait', 'bpjs', 'untuk', 'layanan', 'sim', 'dan', 'stnk', 'korlantas', 'dukung', 'inpres', 'nomor', 'tahun', 'dan', 'sedang', 'disosialisasikan']"
1932,"['gimana', 'yang', 'nunggak', 'iuran', 'ya', 'gak', 'bisa', 'mengakses', 'layanan', 'publik', 'dong', 'apa', 'lagi', 'yang', 'gak', 'ikut', 'bpjs', 'gak', 'bisa', 'beli', 'tanah', 'nih', 'bikin', 'sim', 'dsb', 'kacau', 'dah']"
1933,"['kenapa', 'sekarang', 'malah', 'diperibet', 'sih', 'ndes', 'ndadak', 'buat', 'sim', 'harus', 'pakai', 'bpjs', 'segala', 'ga', 'ada', 'kaitannya', 'udah', 'biaya', 'buat', 'bikin', 'sim', 'mahal', 'setengah', 'juta', 'lebih', 'kalau', 'ga', 'lewat', 'calo', 'dipersulit', 'sama', 'isilop', 'nya', 'ditambah', 'biaya', 'buat', 'bpjs', 'pula', 'hadehh']"
1934,"['ya', 'klau', 'belum', 'punya', 'sim', 'harus', 'punya', 'bpjs', 'bro']"
1935,"['mau', 'beli', 'minyak', 'goreng', 'hrs', 'bpjs', 'ngurus', 'sim', 'stnk', 'hrs', 'bpjs', 'mau', 'umrah', 'hrs', 'bpjs', 'ribet', 'amat', 'besok', 'org', 'mau', 'bokir', 'pun', 'hrs', 'pnya', 'bpjs', 'kasian', 'indonesia', 'dapat', 'pemimpin', 'dari', 'gorong']"
1936,"['yang', 'di', 'kritik', 'mengapa', 'bpjs', 'menjadi', 'syarat', 'mengakses', 'pelayanan', 'publik', 'apakah', 'ada', 'korelasinya', 'ikut', 'bpjs', 'dengan', 'kita', 'jual', 'beli', 'tanah', 'atau', 'nanti', 'buat', 'sim', 'dan', 'skck', 'kemudian', 'mengapa', 'rumah', 'sakit', 'ketika', 'mengklaim', 'uangnya', 'di', 'bpjs', 'sangat', 'sulit', 'untuk', 'turun', 'bahkan', 'bpjs', 'menunggak']"
1937,"['spy', 'kelas', 'menengah', 'atas', 'mau', 'ikut', 'bpjs', 'di', 'buatlah', 'peraturan', 'buat', 'paspor', 'perpanjang', 'sim', 'stnk', 'jual', 'beli', 'tanah', 'harus', 'pake', 'bpjs', 'jd', 'terpaksalah', 'mereka', 'ikut', 'walau', 'ga', 'ikut', 'klaim', 'kl', 'sakit', 'atau', 'masuk', 'rs', 'kan', 'pemasukkan', 'nambah', 'hebat', 'kan']"
1938,"['pengurusan', 'sim', 'dan', 'stnk', 'wajib', 'jadi', 'peserta', 'bpjs', 'polri', 'belum', 'tahu', 'pelaksanaannya', 'kapan']"
1939,"['polri', 'dukung', 'aturan', 'kartu', 'bpjs', 'untuk', 'urus', 'sim', 'stnk', 'dan', 'skck']"
